days,total_strain_micro
9.863013699,-305
10.95890410, -501.792114
10.98901098, -465.827338
13.15068493, -551.971326
16.43835616, -639.784946
18.63013698, -702.508960
20.82191781,-758.2374101
29.5890411,-796.0071942
41.64383562,-858.9568345
63.56164384,-947.0863309
81.09589041,-984.8561151
94.24657534,-1035.215828
108.4931507,-1072.985612
129.3150685,-1110.755396
145.7534247,-1148.52518
160,-1161.115108
174.2465753,-1173.705036
188.4931507,-1186.294964
201.6438356,-1198.884892
216.9863014,-1211.474821
230.1369863,-1211.474821
245.4794521,-1236.654677
258.630137,-1236.654677
287.1232877,-1261.834533
301.369863,-1274.424461
